CODE,DATE,GENERATION,YEAR,LOCATION,TREE,TREE WRIENTATIWN,PLANT PART,TREATMENT,INITIAL N1,SURVIVORS,PREDATED SCALES,PARASITISED SCALES,MORTALITY,PARASITISM,CORRECTED MORTALITY,,,,,
MH11E,12/2/14,3rd,1,Algimia,11,E,Leaf,Semi_Exclusion,26,2,24,0,92.3,0.0,79.70,,,,,
MH11N,12/2/14,3rd,1,Algimia,11,N,Leaf,Predation,20,0,20,4,100.0,20.0,100.00,,,,,
MH11O,12/2/14,3rd,1,Algimia,11,W,Leaf,Predation,34,3,31,8,91.2,23.5,76.71,,,,,
MH12E,12/2/14,3rd,1,Algimia,12,E,Leaf,Exclusion,13,10,3,0,23.1,0.0,-103.02,,,,,
MH12N,12/2/14,3rd,1,Algimia,12,N,Leaf,Predation,18,0,18,2,100.0,11.1,100.00,,,,,
MH12O,12/2/14,3rd,1,Algimia,12,W,Leaf,Semi_Exclusion,11,1,10,0,90.9,0.0,76.01,,,,,
MH12S,12/2/14,3rd,1,Algimia,12,S,Leaf,Exclusion,31,20,11,0,35.5,0.0,-70.28,,,,,
MH13S,12/2/14,3rd,1,Algimia,13,S,Leaf,Predation,22,3,19,2,86.4,9.1,64.01,,,,,
MH13N,12/2/14,3rd,1,Algimia,13,N,Leaf,Semi_Exclusion,10,4,6,0,60.0,0.0,-5.57,,,,,
MH13O,12/2/14,3rd,1,Algimia,13,W,Leaf,Exclusion,13,0,13,0,100.0,0.0,100.00,,,,,
MH14E,12/2/14,3rd,1,Algimia,13,E,Leaf,Semi_Exclusion,19,1,18,0,94.7,0.0,86.11,,,,,
MH14N,12/2/14,3rd,1,Algimia,13,N,Leaf,Exclusion,27,13,14,0,51.9,0.0,-27.08,,,,,
MH14O,12/2/14,3rd,1,Algimia,13,W,Leaf,Predation,37,10,27,7,73.0,18.9,28.67,,,,,
MH14S,12/2/14,3rd,1,Algimia,13,S,Leaf,Semi_Exclusion,31,15,16,1,51.6,3.2,-27.71,,,,,
MH15E,12/2/14,3rd,1,Algimia,13,E,Leaf,Exclusion,18,9,9,0,50.0,0.0,-31.96,,,,,
MH15N,12/2/14,3rd,1,Algimia,13,N,Leaf,Predation,24,0,24,2,100.0,8.3,100.00,,,,,
MH15S,12/2/14,3rd,1,Algimia,13,S,Leaf,Exclusion,29,1,28,0,96.6,0.0,90.90,,,,,
MH16N,12/2/14,3rd,1,Algimia,13,N,Leaf,Semi_Exclusion,27,2,25,0,92.6,0.0,80.45,,,,,
MH16O,12/2/14,3rd,1,Algimia,13,W,Leaf,Exclusion,13,10,3,0,23.1,0.0,-103.02,,,,,
MH17N,12/2/14,3rd,1,Algimia,13,N,Leaf,Predation,12,0,12,1,100.0,8.3,100.00,,,,,
MH17S,12/2/14,3rd,1,Algimia,13,S,Leaf,Semi_Exclusion,12,3,9,0,75.0,0.0,34.02,,,,,
MF1E,12/2/14,3rd,1,Algimia,1,E,Fruit,Predation,18,1,17,0,94.4,0.0,85.34,,,,,
MF1O,12/2/14,3rd,1,Algimia,1,W,Fruit,Exclusion,19,19,0,0,0.0,0.0,-163.93,,,,,
MF1S,12/2/14,3rd,1,Algimia,1,S,Fruit,Predation,18,1,17,0,94.4,0.0,85.34,,,,,
MF2E,12/2/14,3rd,1,Algimia,2,E,Fruit,Semi_Exclusion,17,1,16,1,94.1,5.9,84.47,,,,,
MF2N,12/2/14,3rd,1,Algimia,2,N,Fruit,Exclusion,27,9,18,1,66.7,3.7,12.02,,,,,
MF2S,12/2/14,3rd,1,Algimia,2,S,Fruit,Semi_Exclusion,20,0,20,0,100.0,0.0,100.00,,,,,
MF3N,12/2/14,3rd,1,Algimia,3,N,Fruit,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MF3O,12/2/14,3rd,1,Algimia,3,W,Fruit,Semi_Exclusion,22,1,21,0,95.5,0.0,88.00,,,,,
MF4N,12/2/14,3rd,1,Algimia,4,N,Fruit,Semi_Exclusion,24,1,23,0,95.8,0.0,89.00,,,,,
MF4O,12/2/14,3rd,1,Algimia,4,W,Fruit,Exclusion,30,22,8,0,26.7,0.0,-93.55,,,,,
MF5E,12/2/14,3rd,1,Algimia,5,E,Fruit,Semi_Exclusion,31,1,30,0,96.8,0.0,91.49,,,,,
MF5N,12/2/14,3rd,1,Algimia,5,N,Fruit,Exclusion,19,6,13,0,68.4,0.0,16.65,,,,,
MF5S,12/2/14,3rd,1,Algimia,5,S,Fruit,Semi_Exclusion,13,0,13,0,100.0,0.0,100.00,,,,,
MF6E,12/2/14,3rd,1,Algimia,6,E,Fruit,Exclusion,38,17,21,0,55.3,0.0,-18.07,,,,,
MF6N,12/2/14,3rd,1,Algimia,6,N,Fruit,Predation,26,0,26,0,100.0,0.0,100.00,,,,,
MF6O,12/2/14,3rd,1,Algimia,6,W,Fruit,Semi_Exclusion,20,3,17,0,85.0,0.0,60.41,,,,,
MF6S,12/2/14,3rd,1,Algimia,6,S,Fruit,Exclusion,28,0,28,3,100.0,10.7,100.00,,,,,
MF7E,12/2/14,3rd,1,Algimia,7,E,Fruit,Predation,16,0,16,0,100.0,0.0,100.00,,,,,
MF7N,12/2/14,3rd,1,Algimia,7,N,Fruit,Semi_Exclusion,12,0,12,1,100.0,8.3,100.00,,,,,
MF7O,12/2/14,3rd,1,Algimia,7,W,Fruit,Exclusion,11,3,8,0,72.7,0.0,28.02,,,,,
MF7S,12/2/14,3rd,1,Algimia,7,S,Fruit,Predation,14,0,14,0,100.0,0.0,100.00,,,,,
MF8E,12/2/14,3rd,1,Algimia,8,E,Fruit,Semi_Exclusion,20,1,19,2,95.0,10.0,86.80,,,,,
MF8O,12/2/14,3rd,1,Algimia,8,W,Fruit,Predation,15,3,12,0,80.0,0.0,47.21,,,,,
MF9E,12/2/14,3rd,1,Algimia,9,E,Fruit,Exclusion,12,6,6,0,50.0,0.0,-31.96,,,,,
MF9O,12/2/14,3rd,1,Algimia,9,W,Fruit,Semi_Exclusion,10,1,9,1,90.0,10.0,73.61,,,,,
MF9S,12/2/14,3rd,1,Algimia,9,S,Fruit,Exclusion,13,6,7,0,53.8,0.0,-21.81,,,,,
MF10E,12/2/14,3rd,1,Algimia,10,E,Fruit,Predation,26,0,26,0,100.0,0.0,100.00,,,,,
